Tickers,Analyst Rating,Industry,Working Capital,,,,,Quick Ratio,,,,,EPS,,,,,PE Ratio,,,,,Short to Long Term Debt,,,,,ROE,,,,,Current,,,,,Net Project Margin,,,,,Ave 30 day Volume,Ave 6 month Volume,Ave 3 month Volume,Volume 5day ave,PX 1 Yr Ago,PX 6 Months Ago,PX 3m ago,PX 1 Day ago
WY UN Equity,4.230769157,Financial,573.00,473.00,648.00,605.00,677.00,0.55,0.51,0.45,0.45,1.02,-0.39,0.17,0.13,-0.02,0.20,26.42,36.91,61.54,80.84,37.40,6566.00,6460.00,6752.00,6533.00,7458.00,2.14,0.01,-1.76,-0.88,4.30,1.48,1.39,1.55,1.60,1.37,-17.59,7.57,5.92,-0.90,8.68,1987823.50,1534124.875,1647190.625,1524991.625,26.61,29.38,17.10,22.24
LVS UN Equity,4.699999809,"Consumer, Cyclical",2138.00,1926.00,1804.00,2081.00,1074.00,1.67,1.58,1.52,1.57,1.35,0.75,1.24,0.69,0.82,0.00,18.59,18.56,18.48,21.31,17.94,12348.00,12370.00,12273.00,12833.00,12322.00,23.88,30.46,31.08,49.64,42.24,1.73,1.64,1.60,1.65,1.44,15.96,28.61,16.40,17.93,-0.06,1325284.25,1397418,1319980.375,1178992.25,61.84,70.09,40.70,46.34
ETFC UW Equity,3.266666651,Communications,#N/A N/A,,,,,#N/A N/A,,,,,1.10,0.90,1.08,0.76,0.73,10.71,10.42,10.07,11.41,9.30,2871.00,3092.00,2744.00,2538.00,2187.00,17.13,16.49,16.98,15.63,13.55,#N/A N/A,,,,,35.45,29.01,32.89,23.27,,1185143.50,1617403.75,1282484.375,1258254.25,46.15,45.53,37.54,49.28
MHK UN Equity,3.315789461,"Consumer, Cyclical",1254.72,1102.53,1613.08,1716.87,1741.75,0.51,0.50,0.58,0.58,0.63,1.68,2.80,2.16,3.69,1.54,10.52,12.97,11.53,13.00,7.78,3589.72,3411.19,3110.65,2930.04,3100.91,10.39,10.28,9.25,9.57,9.51,1.37,1.30,1.52,1.63,1.61,4.98,7.83,6.17,10.92,4.83,212742.59,223796.5,198464.5156,177938.2031,151.40,131.00,73.35,99.21
PKI UN Equity,3.266666651,Industrial,505.38,630.96,360.30,611.55,611.68,1.02,1.14,0.87,1.20,1.12,0.32,0.62,0.53,0.58,0.30,38.24,38.09,32.30,35.25,27.33,2068.05,2316.97,2448.24,2256.99,2200.01,9.52,9.66,8.88,8.43,8.37,1.68,1.89,1.30,1.80,1.84,5.46,9.56,8.28,8.01,5.16,226157.91,241833.0938,233635.75,259249,98.46,98.00,75.41,97.94
INCY UW Equity,3.863636255,"Consumer, Non-cyclical",1539.99,1691.52,1857.91,1968.15,1212.76,5.01,5.44,4.90,4.73,3.29,0.48,0.49,0.60,0.51,-3.33,53.20,49.45,35.03,40.61,33.57,42.06,74.41,74.27,72.08,71.57,13.62,15.37,19.17,19.76,-18.69,5.22,5.61,5.02,4.83,3.41,20.55,19.87,23.26,19.16,-126.76,787231.63,777406,773566.875,734497.1875,85.28,77.34,85.11,106.47
VIAC UW Equity,3.666666746,Communications,2240.00,2482.00,2151.00,2854.00,1875.00,1.03,1.04,0.94,0.87,0.91,3.20,1.18,0.85,-0.42,0.84,9.35,3.36,,,,10422.00,10401.00,10488.00,20920.00,20378.00,117.94,109.08,95.29,20.80,11.43,1.50,1.64,1.52,1.32,1.22,27.59,11.55,9.68,-3.75,7.74,5118468.50,4015947.75,4369897,4095819.5,#N/A N/A,42.06,13.94,23.25
AMCR UN Equity,3.769230843,Industrial,722.60,920.20,850.30,,,0.59,0.62,0.62,,,0.04,0.04,0.12,0.11,,#N/A N/A,,,,,6363.10,6786.40,7070.80,,,#N/A N/A,,,,,1.19,1.24,1.23,,,2.10,2.10,6.10,5.78,,5131376.00,3306445.25,3329380.25,14558160,11.61,10.42,8.22,10.60
KEY UN Equity,3.5,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.38,0.40,0.39,0.45,0.12,8.51,9.40,9.83,11.75,7.24,15900.00,15968.00,16110.00,14288.00,20782.00,12.11,11.40,10.91,10.69,8.72,#N/A N/A,,,,,26.90,26.51,25.65,28.77,10.01,3164105.25,2827443.25,2769102.75,4000183.25,18.00,19.61,9.95,11.71
TDY UN Equity,4.5,Industrial,393.80,450.00,402.60,550.50,604.20,0.71,0.76,0.69,0.86,0.90,2.09,2.89,2.93,3.06,2.25,27.23,29.89,33.54,34.15,28.56,1000.40,1053.40,1066.90,989.50,984.20,15.55,15.79,15.78,16.27,16.04,1.54,1.63,1.48,1.72,1.80,10.10,13.38,13.30,13.87,10.48,219900.14,113698.7109,138520.5781,142183.2031,277.21,358.63,308.39,298.45
IP UN Equity,3.117647171,Basic Materials,2109.00,2339.00,2322.00,-2007.00,-2127.00,0.83,0.84,0.85,0.44,0.48,1.06,0.74,0.88,0.42,-0.36,8.45,7.94,8.34,10.42,7.94,11192.00,11138.00,10787.00,10203.00,10650.00,23.24,22.25,19.00,16.25,9.23,1.43,1.46,1.49,0.77,0.77,7.51,5.15,6.18,3.00,-2.63,876730.69,898081,817630.1875,912234.375,43.87,43.95,31.53,35.35
HPE UN Equity,3.347826004,Technology,-1027.00,-1077.00,-2041.00,-4016.00,-4003.00,0.62,0.62,0.58,0.53,0.50,0.13,0.31,-0.02,0.37,0.26,8.47,11.04,10.85,13.37,7.14,12353.00,12446.00,12660.00,13820.00,15015.00,3.07,1.38,-0.92,5.47,6.79,0.94,0.93,0.88,0.79,0.79,2.34,5.86,-0.37,6.65,4.79,4513272.00,3340337.25,3375871,3517781,15.17,15.72,9.83,9.41
ABBV UN Equity,4.5,"Consumer, Non-cyclical",509.00,-1841.00,2673.00,33934.00,35287.00,0.78,0.64,0.92,2.91,2.88,1.65,0.49,1.27,1.88,2.02,10.78,9.54,9.76,11.03,9.21,37561.00,37661.00,38777.00,67088.00,67046.00,#N/A N/A,,,,,1.04,0.89,1.15,3.18,3.14,31.37,8.98,22.22,32.18,34.92,2406983.75,2890126.25,2642018.5,2625033.25,72.99,89.40,75.73,98.88
LH UN Equity,4.666666508,"Consumer, Non-cyclical",358.40,352.80,432.90,325.40,433.10,0.76,0.74,0.77,0.71,0.73,1.88,1.94,2.26,2.34,-3.27,16.90,19.33,18.36,18.08,14.47,6819.50,7507.00,7437.80,7107.60,7117.60,12.71,12.03,10.42,11.33,4.54,1.14,1.14,1.17,1.12,1.18,6.65,6.61,7.54,7.69,-11.23,231483.41,258580.7344,239853.1094,254049.2031,177.78,169.42,126.41,170.27
GRMN UW Equity,3.200000048,Industrial,1889.61,1432.88,1714.89,2021.92,2147.01,2.84,1.60,1.76,2.04,2.48,0.74,1.18,1.20,1.90,0.84,23.02,20.27,20.39,22.01,16.58,56.37,60.74,56.29,64.00,52.83,16.98,18.69,18.78,21.29,21.07,4.04,2.39,2.64,2.95,3.75,18.30,23.42,24.39,32.73,18.83,586103.81,505550.5938,546325.625,493919.1875,79.75,97.69,75.44,97.53
WAT UN Equity,2.176470518,Industrial,1474.51,1008.71,746.75,721.16,776.73,2.78,1.95,1.52,1.56,1.66,1.52,2.09,2.09,3.15,0.86,30.49,25.48,25.81,26.06,21.39,1243.26,1240.51,1440.97,1775.17,1987.59,38.33,45.79,57.90,,,3.44,2.65,2.25,2.22,2.41,21.21,24.10,23.93,28.01,11.52,220615.59,167903.7188,178357.8125,292731.1875,220.23,228.88,188.89,180.82
CPRT UW Equity,4.222222328,"Consumer, Cyclical",256.43,316.68,405.16,420.76,389.13,1.35,1.61,1.96,1.78,1.57,0.57,0.85,0.67,0.94,0.73,32.05,36.78,36.08,38.00,27.12,492.86,406.39,401.23,540.89,519.28,34.58,35.59,35.23,38.67,40.90,1.69,2.07,2.44,2.30,2.14,27.09,34.85,28.29,39.35,29.33,705540.13,792377.8125,747506.1875,913684.625,74.60,93.49,65.39,83.86
PM UN Equity,4.555555344,"Consumer, Non-cyclical",-2745.00,-883.00,1530.00,1681.00,277.00,0.33,0.42,0.53,0.53,0.39,0.87,1.49,1.22,1.04,1.17,17.10,14.94,15.05,16.99,,30970.00,30597.00,32528.00,31864.00,28370.00,#N/A N/A,,,,,0.85,0.95,1.08,1.09,1.02,20.06,30.12,24.81,25.53,,1581721.25,1867846.625,1590971.125,1808925.375,80.12,86.02,75.68,70.46
JBHT UW Equity,3.363636255,Industrial,439.92,322.84,308.43,445.53,488.59,1.06,0.99,1.05,1.01,1.13,1.10,1.24,1.11,1.36,0.99,21.07,19.01,23.22,21.99,17.45,1401.25,1495.54,1415.21,1420.24,1302.76,23.68,22.69,21.54,23.64,22.36,1.44,1.30,1.29,1.43,1.54,5.72,5.91,5.01,5.90,4.60,372165.88,351285.1875,355187.75,359250,90.86,115.00,96.93,118.26
CFG UN Equity,4.619047642,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.92,0.95,0.97,0.98,0.03,8.81,9.38,9.22,10.56,6.25,13166.00,13729.00,14616.00,15042.00,17496.00,8.63,8.55,8.61,8.47,6.41,#N/A N/A,,,,,27.64,27.83,27.41,27.49,2.05,1621597.25,1520064,1429376.5,1707606.75,35.89,39.70,18.79,23.76
NTRS UW Equity,3.222222328,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.49,1.76,1.70,1.71,1.56,13.88,13.73,14.03,16.07,11.37,4628.70,4976.00,5053.50,11887.50,14502.80,14.59,15.02,14.45,13.79,13.30,#N/A N/A,,,,,23.44,25.85,25.01,23.98,22.71,740245.44,692228,658269.875,619445.375,93.92,105.24,81.37,77.67
ANET UN Equity,3.607142925,Communications,2357.78,2503.50,2692.23,2874.56,2763.89,4.46,4.95,5.28,5.22,5.22,2.65,2.47,2.73,3.41,1.82,32.85,31.97,28.25,23.55,23.92,107.76,104.37,102.64,99.07,78.50,18.12,34.34,33.44,34.13,30.38,5.34,5.77,5.91,5.81,5.82,33.76,31.11,31.92,47.18,26.47,167515.17,204198.25,173794.1094,189175.5938,270.74,202.86,207.60,210.51
ROP UN Equity,3.923076868,Industrial,141.30,159.10,118.50,-397.90,-92.70,0.71,0.71,0.68,0.63,0.72,3.57,2.40,2.67,8.37,2.30,35.71,37.43,36.01,35.73,31.36,4782.00,5000.70,6484.10,5552.10,5276.60,14.42,14.36,14.31,20.52,18.49,1.10,1.11,1.08,0.83,0.96,28.71,18.77,20.49,62.45,17.79,188166.73,186506.5469,180274.5781,195088.7969,376.08,359.61,312.62,391.17
EW UN Equity,4.039999962,"Consumer, Non-cyclical",1722.30,1657.70,1963.90,2081.60,1761.00,2.38,2.22,2.48,2.28,2.16,0.40,0.39,0.44,0.45,0.50,41.21,39.28,44.16,44.17,34.44,666.20,668.30,670.70,678.80,675.20,22.87,21.75,21.56,28.73,30.15,3.66,3.38,3.53,3.31,3.36,25.15,22.29,25.11,23.87,27.52,924232.44,1199827.375,944135.25,864417.1875,62.77,78.27,65.14,69.19
MTD UN Equity,2.538461447,Industrial,261.42,274.20,244.55,355.14,521.03,0.87,0.88,0.87,1.03,1.24,4.50,5.15,5.28,7.95,4.08,34.89,39.35,32.01,35.06,31.04,1149.12,1228.52,1261.76,1379.74,1569.42,94.63,105.51,113.32,111.02,126.11,1.37,1.39,1.34,1.47,1.77,16.46,17.39,17.16,22.84,15.11,51555.67,52157.07813,45517.25,41102,859.91,793.73,702.60,814.70
FANG UW Equity,4.722222328,Energy,-419.00,-208.00,-336.00,-394.00,-62.00,0.53,0.71,0.54,0.58,0.42,0.06,2.12,2.27,-3.04,-1.72,15.46,18.29,15.62,14.36,4.01,4696.00,4495.00,4780.00,5386.00,5695.00,7.22,8.38,10.35,1.78,-0.32,0.62,0.82,0.72,0.69,0.95,1.14,34.12,37.40,-42.38,-27.64,1132856.38,1336329.5,1304369.625,1409526.25,107.41,94.90,32.10,41.56
FITB UW Equity,4.119999886,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.14,0.57,0.72,0.97,0.04,9.23,11.45,10.65,11.09,6.77,19987.00,17455.00,19939.00,16796.00,23002.00,13.15,11.92,12.57,14.06,8.76,#N/A N/A,,,,,35.50,23.78,27.70,32.43,2.42,3772828.75,2849575.75,3181443,3124836.5,28.35,30.19,15.47,18.57
BLL UN Equity,4.066666603,Industrial,364.00,399.00,56.00,-693.00,238.00,0.50,0.55,0.50,0.54,0.55,0.35,0.59,0.28,0.49,0.07,38.27,44.20,36.98,28.74,27.71,7353.00,7548.00,7226.00,8056.00,8259.00,11.77,14.26,15.90,17.67,15.29,1.09,1.10,1.01,0.88,1.06,4.20,6.53,3.12,5.88,0.83,597599.19,689887.4375,591266.0625,765188,71.77,64.17,65.62,71.81
ECL UN Equity,3.099999905,Basic Materials,595.00,725.80,950.60,1197.80,2179.70,0.67,0.69,0.73,0.82,1.06,1.03,1.28,1.61,1.49,0.98,31.59,33.66,33.48,31.93,25.26,7711.80,7606.40,7316.60,6932.50,8341.70,18.69,18.61,18.48,18.68,18.14,1.14,1.18,1.24,1.33,1.51,8.46,9.80,12.16,11.24,7.91,1500225.50,751565,944162.6875,706739.375,197.07,187.71,157.39,200.90
IPGP UW Equity,3.769230843,Technology,1582.28,1640.85,1659.95,1704.73,1679.09,6.01,5.92,6.48,7.41,7.14,1.04,1.36,1.08,-0.08,0.69,23.44,27.54,28.07,34.89,28.92,68.64,70.57,69.10,67.42,45.75,15.99,13.37,11.35,7.82,6.99,8.54,8.38,9.08,9.88,9.59,17.51,19.87,17.39,-1.45,14.61,158116.23,195229.6719,168927.9688,121648.3984,149.00,143.27,113.95,159.08
URI UN Equity,4.099999905,"Consumer, Non-cyclical",-518.00,-695.00,-762.00,-356.00,218.00,0.69,0.63,0.63,0.72,0.96,2.21,3.45,5.10,4.49,2.33,7.93,8.84,7.80,10.04,6.12,12272.00,12362.00,12360.00,12197.00,12304.00,33.83,32.76,32.82,32.46,33.44,0.77,0.73,0.71,0.84,1.11,8.27,11.79,15.72,13.76,8.14,356070.28,360107.375,341973.0625,390614,132.92,165.38,103.18,147.91
KEYS UN Equity,4.153846264,Industrial,1144.00,1339.00,1503.00,2212.00,2344.00,1.20,1.30,1.41,2.26,2.40,0.61,0.81,0.85,1.04,0.87,20.94,19.34,19.45,30.36,23.93,1790.00,1792.00,1792.00,1788.00,1952.00,7.20,10.30,11.24,22.84,23.16,1.82,1.90,2.05,3.21,3.39,11.33,14.04,14.63,17.41,14.89,741554.94,561986,531420.0625,550588,91.47,100.14,90.73,100.73
GWW UN Equity,3.299999952,"Consumer, Cyclical",2046.00,2004.00,1824.00,1877.00,3414.00,1.28,1.25,1.13,1.06,2.07,4.50,4.69,4.27,1.89,3.20,17.70,15.54,17.16,19.61,14.56,2406.00,2414.00,2401.00,2444.00,3341.00,42.58,42.94,49.73,44.54,40.31,2.40,2.38,2.16,2.12,3.28,9.04,8.99,7.91,3.62,5.76,111306.30,109319.875,101630.7656,135981.2031,269.53,337.49,251.18,317.51
RJF UN Equity,3.272727251,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.85,1.84,1.90,1.93,1.22,11.77,11.94,11.15,11.94,9.18,3895.00,3550.00,3442.00,3582.00,3837.00,16.33,16.32,15.97,16.20,14.59,#N/A N/A,,,,,13.50,12.95,12.71,13.01,7.95,326793.00,379090.8125,323919.5,324292.4063,85.61,88.86,64.21,67.53
SBAC UW Equity,4.647058964,Financial,-1104.09,-1112.41,-180.90,-714.02,-624.49,0.16,0.15,0.49,0.23,0.29,0.23,0.28,0.19,0.60,-1.14,283.97,160.65,163.57,148.21,604.65,12234.63,12159.82,12250.21,12860.84,12958.73,#N/A N/A,,,,,0.21,0.22,0.65,0.32,0.39,5.27,6.39,4.27,13.11,-24.57,416401.34,357615.7813,355090.5625,648577.375,232.61,241.25,277.46,300.58
RE UN Equity,3.599999905,Financial,#N/A N/A,,,,,#N/A N/A,,,,,8.79,8.42,2.59,5.34,0.41,35.98,19.12,21.61,13.00,10.28,707.20,702.91,698.92,803.74,849.26,2.87,6.00,4.85,12.00,8.01,#N/A N/A,,,,,18.04,16.98,5.11,10.02,0.84,137101.83,136130.8438,133046.9375,123756,254.51,276.59,189.93,200.95
L UN Equity,#N/A N/A,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.27,0.82,0.24,0.73,-2.20,19.54,21.79,27.30,16.70,20.61,12066.00,12245.00,12176.00,12227.00,11968.00,3.92,3.93,2.87,4.95,-0.52,#N/A N/A,,,,,10.49,6.87,1.96,5.60,-20.39,543274.38,473983.5,487212.5625,547969.625,55.69,52.08,35.70,33.69
FRC UN Equity,3.521739244,Financial,#N/A N/A,,,,,#N/A N/A,,,,,1.28,1.25,1.32,1.40,1.20,20.34,19.61,18.96,22.59,16.01,10361.99,11867.28,13728.53,15087.15,18918.50,10.90,10.84,10.75,10.72,10.08,#N/A N/A,,,,,28.07,27.16,28.05,28.07,23.87,345784.81,420875.5313,334877.5625,406364.5938,100.16,116.22,88.57,104.62
IT UN Equity,3.888888836,"Consumer, Non-cyclical",-852.91,-791.05,-820.76,-837.79,-757.72,0.52,0.54,0.53,0.56,0.54,0.23,1.15,0.46,0.76,0.84,62.27,74.04,59.83,63.78,32.94,3136.07,3021.78,3038.67,3092.66,3074.88,17.66,23.34,26.82,26.08,32.92,0.67,0.68,0.68,0.71,0.70,2.14,9.66,4.14,5.63,7.37,139771.70,173592.0469,133261.8438,170688.5938,168.97,158.86,99.86,120.33
A UN Equity,3.75,Industrial,2617.00,2694.00,1835.00,1109.00,1210.00,2.64,2.66,1.62,1.11,1.16,1.58,0.57,0.61,0.63,0.64,28.48,26.39,27.51,30.87,26.22,1798.00,1798.00,1798.00,2407.00,2654.00,23.85,22.94,23.03,23.00,15.46,3.39,3.41,2.13,1.53,1.64,39.25,14.70,14.99,14.19,14.52,536331.94,629582.6875,553874.9375,602218.8125,75.75,84.82,74.36,88.68
EIX UN Equity,4.411764622,Utilities,-1376.00,-1729.00,-1341.00,-1963.00,-1337.00,0.28,0.28,0.38,0.24,0.41,0.85,1.20,1.36,0.40,0.50,15.48,13.78,15.80,15.59,11.36,17637.00,18327.00,19260.00,19586.00,21984.00,-3.27,-2.20,-2.29,10.81,9.96,0.74,0.69,0.78,0.64,0.79,10.91,15.01,13.42,5.82,7.63,1088699.75,781965.75,824400,1085289.625,67.18,75.13,53.17,55.54
RF UN Equity,3.928571463,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.37,0.37,0.39,0.38,0.15,9.66,10.00,10.40,11.10,6.81,15068.00,13968.00,15052.00,10443.00,13255.00,11.40,11.12,10.59,10.41,8.33,#N/A N/A,,,,,27.17,27.16,27.36,26.28,11.47,3379456.75,3058851,2930538.5,3170362.5,15.21,16.58,8.88,10.60
PPG UN Equity,3.857142925,Basic Materials,1821.00,2001.00,2239.00,1795.00,1871.00,0.88,0.92,0.99,0.86,0.91,1.32,1.15,1.55,1.23,1.03,18.97,19.77,19.09,20.90,13.75,6013.00,6238.00,6274.00,5844.00,7000.00,25.74,24.49,23.64,25.08,24.39,1.40,1.43,1.49,1.41,1.36,8.61,6.76,9.59,7.95,7.20,490111.13,602825.0625,504289.9375,720832.1875,117.96,129.09,86.63,109.07
CME UW Equity,3.636363745,Financial,1332.80,1527.70,1778.80,1045.30,1362.90,0.05,0.05,0.04,0.06,0.02,1.39,1.44,1.78,1.31,2.14,27.52,32.23,32.99,32.91,25.26,4853.00,4742.60,4525.00,4399.20,4174.80,7.60,7.29,8.12,8.13,9.05,1.04,1.05,1.04,1.03,1.01,42.12,40.37,49.82,41.24,50.34,880537.19,846376,785168.25,1148155.25,200.32,205.39,182.44,165.27
FDX UN Equity,4,Industrial,4244.00,4073.00,3082.00,2651.00,2216.00,1.29,1.27,1.18,1.11,1.07,2.83,-7.56,2.86,2.15,1.21,11.40,10.89,9.93,11.07,10.06,18416.00,17581.00,32794.00,33217.00,33442.00,18.75,2.91,2.41,0.40,-1.80,1.46,1.45,1.31,1.25,1.21,4.34,-11.06,4.37,3.23,1.80,637891.63,701491.125,619318,1083270,161.97,153.30,119.02,155.48
KMX UN Equity,4.625,"Consumer, Cyclical",1902.50,1798.34,1988.24,2029.20,2128.98,0.14,0.12,0.13,0.14,0.16,1.14,1.60,1.41,1.05,1.32,14.57,17.19,16.89,16.99,10.10,14172.88,15023.74,15373.75,15572.25,15933.56,25.25,25.47,24.90,24.28,24.94,2.45,2.21,2.42,2.43,2.39,4.46,4.97,4.49,3.61,4.33,394854.13,417271.5938,389329.1875,436411,88.48,87.05,54.45,89.22
MPC UN Equity,4.578947544,Energy,3004.00,3506.00,3800.00,4023.00,2124.00,0.51,0.59,0.57,0.58,0.48,-0.01,1.67,1.67,0.68,-14.25,11.06,11.76,13.11,10.95,6.66,30881.00,31090.00,31387.00,31317.00,34188.00,11.18,11.34,12.86,7.66,-22.71,1.20,1.24,1.25,1.25,1.16,-0.02,3.30,3.53,1.42,-36.62,2505774.50,2480356,2438101.75,2259165.5,54.87,58.22,23.09,36.07
CTL UN Equity,2.5,Communications,-1553.00,-2617.00,-2000.00,-2490.00,-1013.00,0.52,0.44,0.56,0.54,0.66,-5.77,0.35,0.28,0.21,0.29,9.54,8.77,9.29,10.07,7.03,37552.00,36743.00,36895.00,36452.00,36342.00,-43.33,-43.26,-43.34,-31.65,9.02,0.71,0.60,0.70,0.66,0.82,-113.60,6.65,5.39,4.00,6.01,3144655.75,3183621.25,2976641.75,2885648.75,11.77,12.85,9.43,9.79
MDLZ UW Equity,4.809523582,"Consumer, Non-cyclical",-9182.00,-9962.00,-8490.00,-7692.00,-7936.00,0.24,0.19,0.24,0.23,0.27,0.63,0.56,0.98,0.50,0.53,20.32,21.76,22.18,22.24,19.98,20069.00,19863.00,20122.00,19007.00,20223.00,12.43,14.57,15.18,14.63,14.40,0.48,0.44,0.50,0.50,0.53,13.98,13.31,22.39,10.50,11.23,2639905.25,3137496,2752207.75,3171165.5,55.50,54.15,52.03,51.49
FTI UN Equity,4.243243217,Energy,1623.60,1727.00,1597.40,1748.00,1415.50,0.75,0.73,0.72,0.74,0.69,0.05,0.22,-0.27,-5.40,-7.28,41.64,39.11,150.48,76.23,73.35,5067.80,5253.90,5089.90,5615.80,5473.60,-16.91,-17.19,-19.76,-26.81,-79.06,1.17,1.18,1.17,1.17,1.14,0.72,2.82,-3.57,-64.77,-104.02,2169100.25,1531195,1569991.375,1537592.25,25.15,21.73,7.77,7.28
AME UN Equity,4.5,Industrial,917.42,1148.60,1161.67,599.91,1296.82,1.12,1.35,1.35,0.80,1.33,0.90,0.95,0.97,0.97,1.23,24.43,25.91,25.18,26.62,20.06,2660.93,2656.14,2609.20,2954.39,3426.95,18.49,18.27,18.17,18.41,19.17,1.91,2.17,2.05,1.42,1.88,15.86,16.71,17.29,16.92,23.34,429936.47,507702.75,422423.625,711454,91.09,101.05,75.43,88.96
HST UN Equity,3.545454502,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.25,0.39,0.51,0.11,0.00,38.36,26.61,22.64,23.12,19.85,4487.00,4463.00,5000.00,4400.00,5904.00,13.96,15.02,15.42,12.42,10.03,#N/A N/A,,,,,13.38,19.29,29.16,6.00,-0.29,3940016.75,3192434,3332750.25,4637383.5,18.36,17.57,10.42,10.95
KR UN Equity,3.833333254,"Consumer, Non-cyclical",-3471.00,-3413.00,-3210.00,-3093.00,-3353.00,0.14,0.15,0.16,0.15,0.15,0.32,0.96,0.37,0.32,0.40,13.01,11.54,11.85,13.44,13.83,15229.00,20571.00,20621.00,20766.00,21178.00,41.92,23.82,20.40,19.17,20.09,0.76,0.75,0.76,0.78,0.76,0.92,2.07,1.05,0.94,1.13,2959278.00,2747727.25,2803087,3214233.75,21.75,28.80,32.63,33.50
ALGN UW Equity,4.176470757,"Consumer, Non-cyclical",634.23,668.33,635.44,662.45,665.84,1.51,1.57,1.51,1.46,1.45,0.90,1.84,1.29,1.54,19.32,57.77,55.27,36.74,53.11,38.51,131.00,75.28,57.07,59.20,73.97,31.57,32.19,33.53,34.07,91.95,1.79,1.85,1.73,1.68,1.73,13.09,24.50,16.88,18.66,275.54,405214.06,415045.4375,425304.8438,415967.8125,273.29,285.88,176.74,279.93
JNPR UN Equity,3.200000048,Communications,2820.50,1992.40,1764.60,1665.90,1436.20,2.71,1.96,2.03,1.84,1.69,0.09,0.13,0.29,0.50,0.06,15.78,17.09,20.58,21.86,18.15,2003.00,1997.30,1891.50,1884.30,1866.50,12.28,10.95,7.94,7.31,7.23,2.89,2.13,2.24,2.08,1.93,3.10,4.19,8.76,13.94,2.04,1003348.44,1314853,1148521.5,1150639.25,27.36,24.29,21.34,22.54
MLM UN Equity,4.047618866,Industrial,612.47,710.91,889.42,588.20,757.40,0.78,0.93,1.18,0.71,0.92,0.68,3.02,3.97,2.10,0.42,24.66,27.12,29.13,28.81,20.02,3669.51,3617.37,3420.84,3268.90,3745.90,10.41,10.18,11.22,11.87,11.57,1.81,1.86,2.29,1.70,1.70,4.57,14.81,17.50,11.91,2.70,168773.67,182896.6094,161815.0938,200015,230.84,276.64,176.96,213.49
NEM UN Equity,4.272727489,Basic Materials,3582.00,2100.00,3087.00,3887.00,4503.00,2.10,0.86,1.25,1.20,2.10,0.16,-0.03,2.66,0.69,1.02,27.69,33.56,31.64,33.33,32.83,4420.00,6917.00,7565.00,6909.00,6872.00,2.24,-0.54,14.00,17.57,21.92,2.97,1.83,2.18,2.63,3.31,4.83,-1.11,80.28,19.04,31.85,3219846.75,2624658.25,2484215.5,3451016.5,38.42,43.26,50.11,60.96
TXT UN Equity,3.461538553,Industrial,3251.00,3417.00,3597.00,3395.00,4170.00,0.52,0.52,0.55,0.59,0.73,0.76,0.94,0.96,0.87,0.22,14.92,15.35,12.92,11.77,7.12,4197.00,4376.00,4463.00,4093.00,5308.00,22.19,22.53,15.68,15.22,12.74,1.95,1.95,1.96,1.88,1.92,5.76,6.72,6.75,4.93,1.80,615878.44,605836,559542.875,613676.375,53.15,44.78,27.34,32.45
HBAN UW Equity,3.636363745,Financial,#N/A N/A,,,,,#N/A N/A,,,,,0.32,0.33,0.34,0.29,0.03,10.23,10.88,11.15,11.87,8.38,12490.00,13362.00,12272.00,12688.00,12622.00,13.26,13.12,13.25,12.78,9.89,#N/A N/A,,,,,31.38,30.69,31.31,27.52,4.17,4172081.75,3846953.25,3794749.25,5895864.5,13.92,14.57,7.49,8.60
MTB UN Equity,3.190476179,Financial,#N/A N/A,,,,,#N/A N/A,,,,,3.35,3.34,3.47,3.60,1.93,11.44,12.35,11.53,12.17,8.25,12405.09,12689.28,12941.27,7536.10,6380.62,13.63,13.51,13.23,12.89,11.33,#N/A N/A,,,,,31.13,30.46,30.82,32.23,17.85,327207.44,290176.9063,279317.375,306546.8125,174.01,167.92,102.79,100.59
FTNT UW Equity,3.758620739,Technology,1059.00,1067.00,1124.30,1295.40,492.30,1.74,1.73,1.73,1.77,1.22,0.35,0.42,0.47,0.67,0.61,62.96,52.13,47.14,56.29,47.01,39.40,37.50,41.60,46.10,43.10,39.90,39.19,37.66,28.00,46.63,1.84,1.82,1.84,1.88,1.32,12.44,13.94,14.58,18.75,18.03,663586.00,719442.0625,658410.4375,548177.8125,78.89,112.00,107.88,138.44
HWM UN Equity,3.181818247,Industrial,2394.00,2397.00,1448.00,1716.00,2841.00,0.68,0.69,0.55,0.63,0.95,0.40,-0.27,0.22,0.71,0.49,10.95,12.70,11.09,12.01,5.80,6643.00,6623.00,6607.00,6205.00,7377.00,13.31,8.97,7.64,9.35,10.14,1.65,1.66,1.32,1.42,1.69,5.28,-3.28,2.67,9.09,6.70,1415945.38,1279620.625,1171731.75,1794758.375,20.99,25.10,12.69,15.31
